,url_id,url_short_url,url_long_url,url_title,url_description,url_created_date,url_updated_date,visitor_id,url_id_1,visitor_ip,visitor_city,visitor_region,visitor_country,visitor_coords,visitor_isp,visitor_bot,visitor_os,visitor_device,visitor_browser,visitor_machine,visitor_user_agent,visitor_visited_date
10,3,bc9cd6,https://replit.com/@cwchan0212/hyperiondev-capstone3?embed=true,Capstone Project 3: Task Manager (Advanced),Built a task management tool for small businesses to manage tasks assigned to team members. This advanced version includes additional features such as the ability to generate reports and display statistics.,2023-02-02 17:24:56.317357,2023-02-06 00:22:36.937703,11,3,82.122.179.2,Laval-du-Tarn,Occitanie,France,"44.3546, 3.346",Orange,False,Mac OS X 10.7.5,Mac Apple Mac,Safari 6.0.3,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10",2023-01-14 12:15:41.000000
11,3,bc9cd6,https://replit.com/@cwchan0212/hyperiondev-capstone3?embed=true,Capstone Project 3: Task Manager (Advanced),Built a task management tool for small businesses to manage tasks assigned to team members. This advanced version includes additional features such as the ability to generate reports and display statistics.,2023-02-02 17:24:56.317357,2023-02-06 00:22:36.937703,12,3,164.162.223.130,Chiyoda,Tokyo,Japan,"35.694003, 139.753595",TOKAI Communications Corporation,False,Mac OS X 10.10.3,Mac Apple Mac,Safari 8.0.6,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",2022-10-10 15:37:43.000000
12,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,13,2,164.162.223.130,Chiyoda,Tokyo,Japan,"35.694003, 139.753595",TOKAI Communications Corporation,False,Mac OS X 10.10.3,Mac Apple Mac,Safari 8.0.6,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",2022-10-10 15:38:31.000000
13,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,14,8,16.184.226.118,Palo Alto,California,United States,"37.4651, -122.143",,False,Other ,Other,Other,Other,Microsoft-WebDAV-MiniRedir/6.1.7601,2023-01-06 15:46:39.000000
14,9,be3c83,https://self-exchange-rate2.cwchan0212.repl.co/,Side Project: Exchange Rate Tracker,"A web application developed using React Hooks to track currency exchange rates, utilizing Exchangerate.host API for data visualization, utilizing React, JavaScript, HTML, and CSS.",2023-02-04 14:31:21.990263,2023-02-06 00:24:31.282589,15,9,16.184.226.118,Palo Alto,California,United States,"37.4651, -122.143",,False,Other ,Other,Other,Other,Microsoft-WebDAV-MiniRedir/6.1.7601,2023-01-06 15:47:40.000000
15,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,16,2,16.184.226.118,Palo Alto,California,United States,"37.4651, -122.143",,False,Other ,Other,Other,Other,Microsoft-WebDAV-MiniRedir/6.1.7601,2023-01-06 15:48:49.000000
16,5,7351b3,https://replit.com/@cwchan0212/hyperiondev-capstone5?embed=true,Capstone Project 5: Bookstore Management System,"Built a bookstore management system that allows a clerk to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 13:56:06.209532,2023-02-06 00:23:16.167642,17,5,16.184.226.118,Palo Alto,California,United States,"37.4651, -122.143",,False,Other ,Other,Other,Other,Microsoft-WebDAV-MiniRedir/6.1.7601,2023-01-06 15:48:51.000000
17,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,18,2,53.195.156.9,Stuttgart,Baden-Wurttemberg,Germany,"48.767, 9.1827",Mercedes-Benz Group AG,False,Android 4.4.4,XT1028 Motorola XT1028,Chrome Mobile 44.0.2403,Mobile,"Mozilla/5.0 (Linux; Android 4.4.4; XT1028 Build/KXB21.14-L1.41) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36",2022-12-24 18:32:48.000000
18,4,995ce4,https://replit.com/@cwchan0212/hyperiondev-capstone4?embed=true,Capstone Project 4: Inventory Management System,Built an inventory management tool for shoe warehouses that allows the user to perform various tasks related to managing the warehouse and its inventory.,2023-02-03 13:33:42.378675,2023-02-06 00:33:54.400958,19,4,113.35.190.218,Kumamoto,Kumamoto,Japan,"32.8095, 130.6931",ARTERIA Networks Corporation,False,Windows 7,Other,IE 9.0,Desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; MANM),2022-12-17 14:36:11.000000
19,11,6d71a5,https://www.linkedin.com/in/cwchanst/,My LinkedIn,It is a place to showcase my skills and professional background.,2023-02-04 18:27:48.572628,2023-02-06 00:30:16.055210,20,11,113.35.190.218,Kumamoto,Kumamoto,Japan,"32.8095, 130.6931",ARTERIA Networks Corporation,False,Windows 7,Other,IE 9.0,Desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; MANM),2022-12-17 14:37:35.000000
20,9,be3c83,https://self-exchange-rate2.cwchan0212.repl.co/,Side Project: Exchange Rate Tracker,"A web application developed using React Hooks to track currency exchange rates, utilizing Exchangerate.host API for data visualization, utilizing React, JavaScript, HTML, and CSS.",2023-02-04 14:31:21.990263,2023-02-06 00:24:31.282589,21,9,171.188.151.2,Concord,California,United States,"37.9448, -122.0279",,False,Windows 7,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; MDDRJS; rv:11.0) like Gecko,2023-01-04 05:20:27.000000
21,6,1842e4,https://replit.com/@cwchan0212/hyperiondev-capstone1-gui?embed=true,Capstone Project 1: Financial Calculator (Advanced),"A GUI calculator adapted from a previous capstone project, developed using Python Tkinter that includes an Investment calculator and a Home loan repayment calculator, utilizing Python, Tkinter and command line interface.",2023-02-04 14:12:53.955382,2023-02-06 00:23:33.422084,22,6,171.188.151.2,Concord,California,United States,"37.9448, -122.0279",,False,Windows 7,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; MDDRJS; rv:11.0) like Gecko,2023-01-04 05:20:44.000000
22,14,d60640,https://cwchan0212.github.io/,My Personal Portfolio Page,It is a place to showcase my projects.,2023-02-04 18:27:28.630099,2023-02-06 00:34:06.417943,23,14,171.188.151.2,Concord,California,United States,"37.9448, -122.0279",,False,Windows 7,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; MDDRJS; rv:11.0) like Gecko,2023-01-04 05:20:45.000000
23,11,6d71a5,https://www.linkedin.com/in/cwchanst/,My LinkedIn,It is a place to showcase my skills and professional background.,2023-02-04 18:27:48.572628,2023-02-06 00:30:16.055210,24,11,171.188.151.2,Concord,California,United States,"37.9448, -122.0279",,False,Windows 7,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; MDDRJS; rv:11.0) like Gecko,2023-01-04 05:22:05.000000
24,12,bb9eaa,https://github.com/cwchan0212,My GitHub,"It is a place to store my code repositories, collaborate with others on open-source projects, and showcase my portfolio",2023-02-04 18:28:06.102119,2023-02-06 00:30:11.957890,25,12,131.108.146.215,Maringá,Parana,Brazil,"-23.4262, -51.9388",Central das Cooperativas de Credito do Estado do P,False,Android 4.1.2,Samsung SM-T530 Samsung SM-T530,Chrome 37.0.2062,Tablet,"Mozilla/5.0 (Linux; Android 4.1.2; SM-T530 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.117 Safari/537.36",2022-11-09 21:16:44.000000
25,7,a4563b,https://hyperiondev-capstone3-django.cwchan0212.repl.co/,Capstone Project 3 - Task Manager (Django),"Adapted from a previous capstone project, a web application using Django and SQLite that allows users to register, add, edit and generate reports for tasks, utilizing Python, Django, HTML, CSS, and JavaScript.",2023-02-04 14:15:47.474489,2023-02-06 00:23:56.101444,26,7,131.108.146.215,Maringá,Parana,Brazil,"-23.4262, -51.9388",Central das Cooperativas de Credito do Estado do P,False,Android 4.1.2,Samsung SM-T530 Samsung SM-T530,Chrome 37.0.2062,Tablet,"Mozilla/5.0 (Linux; Android 4.1.2; SM-T530 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.117 Safari/537.36",2022-11-09 21:17:24.000000
26,1,aa7254,https://replit.com/@cwchan0212/hyperiondev-capstone1?embed=true,Capstone Project 1: Financial Calculator,Built a financial calculator that allows the user to access two different financial calculators: an investment calculator and a home loan repayment calculator.,2023-02-02 17:22:57.887947,2023-02-06 00:21:35.327952,27,1,201.186.141.150,Temuco,Region de la Araucania,Chile,"-38.7315, -72.5992",Telefonica del Sur S.A.,False,Windows RT 8.1,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,2023-01-18 05:09:53.000000
27,7,a4563b,https://hyperiondev-capstone3-django.cwchan0212.repl.co/,Capstone Project 3 - Task Manager (Django),"Adapted from a previous capstone project, a web application using Django and SQLite that allows users to register, add, edit and generate reports for tasks, utilizing Python, Django, HTML, CSS, and JavaScript.",2023-02-04 14:15:47.474489,2023-02-06 00:23:56.101444,28,7,201.186.141.150,Temuco,Region de la Araucania,Chile,"-38.7315, -72.5992",Telefonica del Sur S.A.,False,Windows RT 8.1,Other,IE 11.0,Desktop,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,2023-01-18 05:10:25.000000
28,10,63b56e,https://self-staff-scheduler.cwchan0212.repl.co/,Side Project: Staff Scheduler,"Adapted from a previous Excel VBA application, a web application using NodeJs, Express, MongoDB that saved supervisor up to 90% of the time spent on report preparation during the pandemic.",2023-02-04 14:31:52.310574,2023-02-06 00:24:49.297269,29,10,129.197.165.65,Denver,Colorado,United States,"39.7435, -105.0619",,False,Windows 7,Other,Firefox 3.6.3,Desktop,Mozilla/5.0 (Windows; U; Windows NT 6.1; ro; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3,2022-12-13 23:49:40.000000
29,12,bb9eaa,https://github.com/cwchan0212,My GitHub,"It is a place to store my code repositories, collaborate with others on open-source projects, and showcase my portfolio",2023-02-04 18:28:06.102119,2023-02-06 00:30:11.957890,30,12,219.201.49.159,Takasago,Saitama,Japan,"35.8691, 139.6582",Softbank BB Corp.,False,Windows XP,Other,Opera 9.0,Desktop,Opera/9.0 (Windows NT 5.1; U; en; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),2022-10-21 20:35:18.000000
30,5,7351b3,https://replit.com/@cwchan0212/hyperiondev-capstone5?embed=true,Capstone Project 5: Bookstore Management System,"Built a bookstore management system that allows a clerk to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 13:56:06.209532,2023-02-06 00:23:16.167642,31,5,171.137.233.161,Concord,California,United States,"37.9448, -122.0279",,False,Windows XP,Other,IE 8.0,Desktop,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; InfoPath.3),2022-10-23 14:02:13.000000
31,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,32,8,171.137.233.161,Concord,California,United States,"37.9448, -122.0279",,False,Windows XP,Other,IE 8.0,Desktop,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; InfoPath.3),2022-10-23 14:02:23.000000
32,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,33,2,171.137.233.161,Concord,California,United States,"37.9448, -122.0279",,False,Windows XP,Other,IE 8.0,Desktop,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; InfoPath.3),2022-10-23 14:03:26.000000
33,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,34,2,165.252.35.65,New York,New York,United States,"40.7425, -73.9877",ATT-INTERNET4,False,Android 4.1.2,Samsung GT-N8000 Samsung GT-N8000,Android 4.1.2,Tablet,"Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N8000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",2022-12-23 02:58:54.000000
34,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,35,2,73.253.134.223,Madison,Connecticut,United States,"41.3089, -72.619",COMCAST-7922,False,Ubuntu ,Other,Chromium 34.0.1847,Desktop,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",2023-01-31 23:52:39.000000
35,12,bb9eaa,https://github.com/cwchan0212,My GitHub,"It is a place to store my code repositories, collaborate with others on open-source projects, and showcase my portfolio",2023-02-04 18:28:06.102119,2023-02-06 00:30:11.957890,36,12,73.253.134.223,Madison,Connecticut,United States,"41.3089, -72.619",COMCAST-7922,False,Ubuntu ,Other,Chromium 34.0.1847,Desktop,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",2023-01-31 23:54:19.000000
36,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,37,8,73.253.134.223,Madison,Connecticut,United States,"41.3089, -72.619",COMCAST-7922,False,Ubuntu ,Other,Chromium 34.0.1847,Desktop,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",2023-01-31 23:54:37.000000
37,3,bc9cd6,https://replit.com/@cwchan0212/hyperiondev-capstone3?embed=true,Capstone Project 3: Task Manager (Advanced),Built a task management tool for small businesses to manage tasks assigned to team members. This advanced version includes additional features such as the ability to generate reports and display statistics.,2023-02-02 17:24:56.317357,2023-02-06 00:22:36.937703,38,3,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 4.2.2,Qmobile A30 Qmobile A30,Android 4.2.2,Mobile,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; QMobile A30 Build/QMobileA30) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",2022-12-22 03:57:34.000000
38,11,6d71a5,https://www.linkedin.com/in/cwchanst/,My LinkedIn,It is a place to showcase my skills and professional background.,2023-02-04 18:27:48.572628,2023-02-06 00:30:16.055210,39,11,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 4.2.2,Qmobile A30 Qmobile A30,Android 4.2.2,Mobile,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; QMobile A30 Build/QMobileA30) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",2022-12-22 03:58:37.000000
39,14,d60640,https://cwchan0212.github.io/,My Personal Portfolio Page,It is a place to showcase my projects.,2023-02-04 18:27:28.630099,2023-02-06 00:34:06.417943,40,14,98.40.195.173,Pasadena,Texas,United States,"29.65, -95.1485",COMCAST-7922,False,Windows Vista,Other,IE 7.0,Desktop,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; GTB7.5; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618; .NET CLR 1.1.4322; .NET4.0C),2023-01-10 00:28:09.000000
40,5,7351b3,https://replit.com/@cwchan0212/hyperiondev-capstone5?embed=true,Capstone Project 5: Bookstore Management System,"Built a bookstore management system that allows a clerk to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 13:56:06.209532,2023-02-06 00:23:16.167642,41,5,98.40.195.173,Pasadena,Texas,United States,"29.65, -95.1485",COMCAST-7922,False,Windows Vista,Other,IE 7.0,Desktop,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; GTB7.5; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618; .NET CLR 1.1.4322; .NET4.0C),2023-01-10 00:28:35.000000
41,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,42,8,212.17.109.96,Vienna,Vienna,Austria,"48.1982, 16.3917",T-Mobile Austria GmbH,False,Windows Vista,Other,IE 9.0,Desktop,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E),2022-12-10 00:38:15.000000
42,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,43,8,40.12.95.77,Indianapolis,Indiana,United States,"39.7413, -86.1524",LILLY-AS,False,Other ,Other,Dillo 2.0,Other,Dillo/2.0,2022-12-14 03:59:59.000000
43,8,9b0294,https://hyperiondev-capstone5-flask.cwchan0212.repl.co/,Capstone Project 5: Bookstore Management System (Flask),"Adapted from a previous capstone project, a web application using Flask and SQLite that allows users to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 14:29:12.590838,2023-02-06 00:24:15.047801,44,8,113.64.57.19,Shantou,Guangdong,China,"23.3712, 116.7223",Chinanet,False,Android 4.4.3,"Kindle Fire HDX 8.9"" WiFi Amazon Kindle Fire HDX 8.9"" WiFi",Amazon Silk 44.2.49,Tablet,"Mozilla/5.0 (Linux; Android 4.4.3; KFAPWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/44.2.49 like Chrome/44.0.2403.133 Safari/537.36",2022-11-14 07:31:08.000000
44,12,bb9eaa,https://github.com/cwchan0212,My GitHub,"It is a place to store my code repositories, collaborate with others on open-source projects, and showcase my portfolio",2023-02-04 18:28:06.102119,2023-02-06 00:30:11.957890,45,12,113.64.57.19,Shantou,Guangdong,China,"23.3712, 116.7223",Chinanet,False,Android 4.4.3,"Kindle Fire HDX 8.9"" WiFi Amazon Kindle Fire HDX 8.9"" WiFi",Amazon Silk 44.2.49,Tablet,"Mozilla/5.0 (Linux; Android 4.4.3; KFAPWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/44.2.49 like Chrome/44.0.2403.133 Safari/537.36",2022-11-14 07:31:28.000000
